elapsed_s,load_force_n,load_kg,pressure_force_n,pressure_kg_eq,pressure_hpa,error_kg
0.812,0.315932,0.032216,-46.964234,-4.789019,1031.3849,-4.821235
0.947,0.315932,0.032216,-46.964234,-4.789019,1031.3849,-4.821235
2.019,-29.342160,-2.992068,-46.947821,-4.787345,1031.4172,-1.795278
2.020,-29.342160,-2.992068,-46.947821,-4.787345,1031.4172,-1.795278
2.527,-29.342160,-2.992068,-46.999209,-4.792586,1031.3159,-1.800518
2.886,-36.578972,-3.730017,-46.999209,-4.792586,1031.3159,-1.062569
3.055,-36.578972,-3.730017,-46.930170,-4.785546,1031.4520,-1.055528
3.564,-36.578972,-3.730017,-46.923201,-4.784835,1031.4658,-1.054818
3.759,-46.877992,-4.780225,-46.923201,-4.784835,1031.4658,-0.004610
4.077,-46.877992,-4.780225,-46.980452,-4.790673,1031.3529,-0.010448
4.587,-46.877992,-4.780225,-46.618517,-4.753766,1032.0666,0.026459
4.633,-46.877992,-4.780225,-46.618517,-4.753766,1032.0666,0.026459
5.096,-46.877992,-4.780225,-46.417653,-4.733283,1032.4626,0.046942
5.508,-46.877992,-4.780225,-46.417653,-4.733283,1032.4626,0.046942
5.673,-46.877992,-4.780225,-46.149182,-4.705907,1032.9920,0.074318
6.186,-46.877992,-4.780225,-45.693328,-4.659423,1033.8908,0.120802
6.377,-46.691873,-4.761246,-45.693328,-4.659423,1033.8908,0.101823
6.699,-46.691873,-4.761246,-45.343834,-4.623784,1034.5800,0.137462
7.212,-46.691873,-4.761246,-44.924910,-4.581066,1035.4060,0.180180
7.725,-46.691873,-4.761246,-44.428023,-4.530398,1036.3857,0.230848
8.019,-46.297575,-4.721039,-44.428023,-4.530398,1036.3857,0.190641
8.235,-46.297575,-4.721039,-43.813380,-4.467721,1037.5977,0.253317
8.748,-46.297575,-4.721039,-43.308157,-4.416203,1038.5939,0.304836
8.912,-45.769068,-4.667146,-43.308157,-4.416203,1038.5939,0.250943
9.258,-45.769068,-4.667146,-42.700222,-4.354211,1039.7926,0.312935
9.764,-44.534189,-4.541223,-42.700222,-4.354211,1039.7926,0.187013
9.770,-44.534189,-4.541223,-41.925420,-4.275203,1041.3203,0.266020
10.277,-44.534189,-4.541223,-41.152052,-4.196341,1042.8452,0.344882
10.636,-43.619946,-4.447997,-41.152052,-4.196341,1042.8452,0.251655
10.793,-43.619946,-4.447997,-40.257800,-4.105153,1044.6085,0.342843
11.313,-43.619946,-4.447997,-39.361464,-4.013752,1046.3759,0.434244
11.510,-42.588077,-4.342775,-39.361464,-4.013752,1046.3759,0.329023
11.826,-42.588077,-4.342775,-38.288947,-3.904386,1048.4907,0.438389
12.339,-42.588077,-4.342775,-37.285536,-3.802067,1050.4692,0.540709
12.381,-41.298896,-4.211315,-37.285536,-3.802067,1050.4692,0.409249
12.848,-41.298896,-4.211315,-36.091094,-3.680267,1052.8244,0.531048
13.256,-39.842571,-4.062812,-36.091094,-3.680267,1052.8244,0.382544
13.421,-39.842571,-4.062812,-36.078328,-3.678966,1052.8495,0.383846
13.930,-39.842571,-4.062812,-37.538896,-3.827902,1049.9696,0.234910
14.437,-39.842571,-4.062812,-38.638116,-3.939991,1047.8022,0.122820
14.956,-39.842571,-4.062812,-39.622835,-4.040405,1045.8605,0.022407
15.465,-39.842571,-4.062812,-40.525945,-4.132496,1044.0798,-0.069685
15.960,-39.842571,-4.062812,-40.525945,-4.132496,1044.0798,-0.069685
15.979,-39.842571,-4.062812,-41.398899,-4.221513,1042.3585,-0.158701
16.491,-39.842571,-4.062812,-42.209132,-4.304134,1040.7609,-0.241322
17.106,-39.842571,-4.062812,-42.890470,-4.373611,1039.4175,-0.310799
17.619,-39.842571,-4.062812,-42.890470,-4.373611,1039.4175,-0.310799
17.620,-39.842571,-4.062812,-43.603266,-4.446296,1038.0120,-0.383484
18.129,-39.842571,-4.062812,-44.262720,-4.513541,1036.7117,-0.450730
18.639,-39.842571,-4.062812,-44.639114,-4.551923,1035.9695,-0.489111
19.153,-39.842571,-4.062812,-45.158470,-4.604882,1034.9455,-0.542071
19.668,-39.842571,-4.062812,-45.552189,-4.645031,1034.1691,-0.582219
20.182,-39.842571,-4.062812,-45.827498,-4.673104,1033.6263,-0.610293
20.393,-40.987361,-4.179548,-45.827498,-4.673104,1033.6263,-0.493557
20.690,-40.987361,-4.179548,-46.129121,-4.703861,1033.0315,-0.524314
21.197,-40.987361,-4.179548,-46.393163,-4.730786,1032.5109,-0.551238
21.705,-40.987361,-4.179548,-46.647761,-4.756748,1032.0089,-0.577200
22.212,-40.987361,-4.179548,-46.916493,-4.784151,1031.4790,-0.604603
22.417,-41.819613,-4.264414,-46.916493,-4.784151,1031.4790,-0.519737
22.725,-41.819613,-4.264414,-46.948342,-4.787399,1031.4162,-0.522985
23.234,-41.819613,-4.264414,-47.008979,-4.793582,1031.2966,-0.529168
23.747,-41.819613,-4.264414,-46.919359,-4.784443,1031.4734,-0.520029
24.255,-41.819613,-4.264414,-46.999014,-4.792566,1031.3163,-0.528152
24.901,-41.819613,-4.264414,-46.997972,-4.792459,1031.3183,-0.528046
25.477,-41.819613,-4.264414,-46.981429,-4.790772,1031.3510,-0.526359
25.616,-44.429135,-4.530511,-46.981429,-4.790772,1031.3510,-0.260262
25.989,-44.429135,-4.530511,-46.966644,-4.789265,1031.3801,-0.258754
