elapsed_s,load_force_n,load_kg,pressure_force_n,pressure_kg_eq,pressure_hpa,error_kg
0.015,-46.870587,-4.779470,-46.978172,-4.790440,1031.3574,-0.010971
0.537,-46.870587,-4.779470,-46.986509,-4.791290,1031.3410,-0.011821
0.668,-46.871127,-4.779525,-46.986509,-4.791290,1031.3410,-0.011766
1.329,-46.871127,-4.779525,-47.011845,-4.793874,1031.2910,-0.014349
1.644,-46.871127,-4.779525,-47.011845,-4.793874,1031.2910,-0.014349
1.837,-46.871127,-4.779525,-47.015362,-4.794233,1031.2841,-0.014708
2.345,-46.871127,-4.779525,-46.988398,-4.791483,1031.3372,-0.011958
2.525,-46.871436,-4.779556,-46.988398,-4.791483,1031.3372,-0.011927
2.860,-46.871436,-4.779556,-46.971203,-4.789730,1031.3711,-0.010173
3.374,-46.871436,-4.779556,-46.868882,-4.779296,1031.5729,0.000260
3.390,-46.871436,-4.779556,-46.868882,-4.779296,1031.5729,0.000260
3.888,-46.871436,-4.779556,-46.672967,-4.759318,1031.9592,0.020238
4.268,-46.868967,-4.779305,-46.672967,-4.759318,1031.9592,0.019986
4.465,-46.868967,-4.779305,-679.307801,-69.270118,-215.4612,-64.490813
4.979,-46.868967,-4.779305,-45.923372,-4.682881,1033.4372,0.096424
5.152,-46.800089,-4.772281,-45.923372,-4.682881,1033.4372,0.089400
5.493,-46.800089,-4.772281,-45.571923,-4.647043,1034.1302,0.125238
6.006,-46.800089,-4.772281,-45.236042,-4.612792,1034.7925,0.159488
6.008,-46.517324,-4.743447,-45.236042,-4.612792,1034.7925,0.130654
6.521,-46.517324,-4.743447,-44.762212,-4.564475,1035.7268,0.178972
6.880,-46.050445,-4.695839,-44.762212,-4.564475,1035.7268,0.131363
7.059,-46.050445,-4.695839,-44.247479,-4.511987,1036.7417,0.183851
7.572,-46.050445,-4.695839,-43.743299,-4.460575,1037.7359,0.235263
7.753,-45.491008,-4.638792,-43.743299,-4.460575,1037.7359,0.178217
8.086,-45.491008,-4.638792,-43.135559,-4.398603,1038.9342,0.240189
8.599,-45.491008,-4.638792,-42.491085,-4.332885,1040.2050,0.305907
8.627,-44.868092,-4.575272,-42.491085,-4.332885,1040.2050,0.242387
9.108,-44.868092,-4.575272,-41.775097,-4.259874,1041.6167,0.315398
9.499,-44.025273,-4.489328,-41.775097,-4.259874,1041.6167,0.229454
9.704,-44.025273,-4.489328,-40.902795,-4.170924,1043.3367,0.318404
10.218,-44.025273,-4.489328,-39.884012,-4.067037,1045.3456,0.422291
10.391,-43.030890,-4.387930,-39.884012,-4.067037,1045.3456,0.320892
10.727,-43.030890,-4.387930,-39.013207,-3.978240,1047.0626,0.409690
11.240,-43.030890,-4.387930,-37.939909,-3.868794,1049.1789,0.519136
11.247,-41.853551,-4.267874,-37.939909,-3.868794,1049.1789,0.399080
11.747,-41.853551,-4.267874,-36.835479,-3.756173,1051.3566,0.511701
12.117,-40.482534,-4.128070,-36.835479,-3.756173,1051.3566,0.371896
12.290,-40.482534,-4.128070,-35.884237,-3.659174,1053.2323,0.468896
12.797,-40.482534,-4.128070,-36.667505,-3.739045,1051.6878,0.389025
12.991,-38.855670,-3.962176,-36.667505,-3.739045,1051.6878,0.223131
