elapsed_s,load_force_n,load_kg,pressure_force_n,pressure_kg_eq,pressure_hpa,error_kg
0.492,-0.003317,-0.000338,,,1030.8481,
0.767,0.001234,0.000126,,,1030.8481,
1.005,0.001234,0.000126,,,1030.7223,
1.306,0.035866,0.003657,,,1030.7223,
1.519,0.035866,0.003657,,,1030.8025,
1.829,-0.027922,-0.002847,,,1030.8025,
2.027,-0.027922,-0.002847,,,1030.8333,
2.352,-0.029002,-0.002957,,,1030.8333,
2.535,-0.029002,-0.002957,,,1030.8883,
2.881,-0.027613,-0.002816,,,1030.8883,
3.045,-0.027613,-0.002816,,,1030.8866,
3.487,-0.027536,-0.002808,,,1030.8866,
3.559,-0.027536,-0.002808,,,1030.7583,
4.011,-0.025608,-0.002611,,,1030.7583,
4.255,-0.025608,-0.002611,,,1030.7117,
4.535,-0.027228,-0.002776,,,1030.7117,
4.772,-0.027228,-0.002776,,,1030.7059,
5.063,-0.027073,-0.002761,,,1030.7059,
5.295,-0.027073,-0.002761,,,1030.7680,
5.581,-0.027459,-0.002800,,,1030.7680,
5.810,-0.027459,-0.002800,,,1030.7246,
6.105,-0.027845,-0.002839,,,1030.7246,
6.320,-0.027845,-0.002839,,,1030.7675,
6.628,-0.027228,-0.002776,,,1030.7675,
6.829,-0.027228,-0.002776,,,1030.7889,
7.152,-0.028924,-0.002949,,,1030.7889,
7.345,-0.028924,-0.002949,,,1030.8511,
7.676,-0.028616,-0.002918,,,1030.8511,
7.853,-0.028616,-0.002918,,,1030.7190,
8.200,-0.025531,-0.002603,,,1030.7190,
8.370,-0.025531,-0.002603,,,1030.8035,
8.723,-0.027073,-0.002761,,,1030.8035,
9.023,-0.027073,-0.002761,,,1030.8206,
9.246,-0.026688,-0.002721,,,1030.8206,
9.534,-0.026688,-0.002721,,,1030.7704,
9.771,-0.028616,-0.002918,,,1030.7704,
10.042,-0.028616,-0.002918,,,1030.8691,
10.294,-0.026765,-0.002729,,,1030.8691,
10.559,-0.026765,-0.002729,,,1030.8195,
10.818,-0.026379,-0.002690,,,1030.8195,
11.067,-0.026379,-0.002690,,,1030.7538,
11.342,-0.027228,-0.002776,,,1030.7538,
11.587,-0.027228,-0.002776,,,1030.8271,
11.865,-0.027999,-0.002855,,,1030.8271,
12.095,-0.027999,-0.002855,,,1030.8102,
12.389,-0.025068,-0.002556,,,1030.8102,
12.614,-0.025068,-0.002556,,,1030.8791,
12.914,-0.029233,-0.002981,,,1030.8791,
13.129,-0.029233,-0.002981,,,1030.8094,
13.438,-0.029233,-0.002981,,,1030.8094,
13.644,-0.029233,-0.002981,,,1030.7864,
13.961,-0.027382,-0.002792,,,1030.7864,
14.164,-0.027382,-0.002792,,,1030.8441,
14.484,-0.027073,-0.002761,,,1030.8441,
14.677,-0.027073,-0.002761,,,1030.7452,
15.008,-0.028462,-0.002902,,,1030.7452,
15.195,-0.028462,-0.002902,,,1030.7045,
15.532,-0.027150,-0.002769,,,1030.7045,
15.707,-0.027150,-0.002769,,,1030.7326,
16.060,-0.027382,-0.002792,,,1030.7326,
