elapsed_s,load_force_n,load_kg,pressure_force_n,pressure_kg_eq,pressure_hpa,error_kg
0.223,0.001234,0.000126,-46.925937,-4.785114,1031.4604,-4.785240
1.961,0.001427,0.000146,-46.951859,-4.787757,1031.4093,-4.787903
1.965,0.001427,0.000146,-46.951859,-4.787757,1031.4093,-4.787903
2.535,0.001427,0.000146,-46.942155,-4.786768,1031.4284,-4.786913
2.818,0.001851,0.000189,-46.942155,-4.786768,1031.4284,-4.786956
3.043,0.001851,0.000189,-46.932776,-4.785811,1031.4469,-4.786000
3.559,0.001851,0.000189,-46.808310,-4.773119,1031.6923,-4.773308
3.690,0.002275,0.000232,-46.808310,-4.773119,1031.6923,-4.773351
4.068,0.002275,0.000232,-46.718103,-4.763921,1031.8702,-4.764153
4.563,0.002738,0.000279,-46.718103,-4.763921,1031.8702,-4.764200
4.580,0.002738,0.000279,-46.534433,-4.745192,1032.2323,-4.745471
5.090,0.002738,0.000279,-46.282896,-4.719542,1032.7283,-4.719821
5.436,0.003509,0.000358,-46.282896,-4.719542,1032.7283,-4.719900
5.598,0.003509,0.000358,-46.060212,-4.696835,1033.1674,-4.697192
6.108,0.003509,0.000358,-45.631909,-4.653160,1034.0119,-4.653518
6.309,0.153068,0.015609,-45.631909,-4.653160,1034.0119,-4.668768
6.624,0.153068,0.015609,-45.298242,-4.619135,1034.6699,-4.634744
7.139,0.153068,0.015609,-44.920481,-4.580614,1035.4147,-4.596223
7.183,0.530937,0.054140,-44.920481,-4.580614,1035.4147,-4.634755
7.647,0.530937,0.054140,-44.448930,-4.532530,1036.3445,-4.586670
8.053,1.034376,0.105477,-44.448930,-4.532530,1036.3445,-4.638006
8.155,1.034376,0.105477,-43.899744,-4.476528,1037.4274,-4.582005
8.663,1.034376,0.105477,-43.333167,-4.418753,1038.5446,-4.524230
9.170,1.034376,0.105477,-42.724320,-4.356668,1039.7451,-4.462145
9.678,1.034376,0.105477,-41.977721,-4.280536,1041.2172,-4.386013
9.694,1.629524,0.166165,-41.977721,-4.280536,1041.2172,-4.446701
10.191,1.629524,0.166165,-41.217769,-4.203043,1042.7157,-4.369208
10.699,1.629524,0.166165,-40.388193,-4.118449,1044.3514,-4.284615
11.212,1.629524,0.166165,-39.532108,-4.031153,1046.0394,-4.197318
11.335,2.342608,0.238879,-39.532108,-4.031153,1046.0394,-4.270033
11.722,2.342608,0.238879,-38.658567,-3.942077,1047.7619,-4.180956
12.207,4.182740,0.426521,-38.658567,-3.942077,1047.7619,-4.368598
12.238,4.182740,0.426521,-37.585791,-3.832684,1049.8772,-4.259205
12.752,4.182740,0.426521,-36.439285,-3.715773,1052.1378,-4.142294
13.081,5.171955,0.527393,-36.439285,-3.715773,1052.1378,-4.243166
13.261,5.171955,0.527393,-35.865284,-3.657241,1053.2696,-4.184634
13.831,5.171955,0.527393,-36.972515,-3.770147,1051.0864,-4.297540
14.341,5.171955,0.527393,-38.331218,-3.908696,1048.4073,-4.436089
14.849,5.171955,0.527393,-39.327530,-4.010292,1046.4428,-4.537685
15.356,5.171955,0.527393,-40.199312,-4.099189,1044.7238,-4.626582
15.489,8.294018,0.845754,-40.199312,-4.099189,1044.7238,-4.944943
15.870,8.294018,0.845754,-41.031559,-4.184055,1043.0828,-5.029809
16.362,8.294018,0.845754,-41.031559,-4.184055,1043.0828,-5.029809
16.386,8.294018,0.845754,-41.843941,-4.266895,1041.4810,-5.112649
16.900,8.294018,0.845754,-42.665311,-4.350651,1039.8614,-5.196405
17.415,8.294018,0.845754,-43.271227,-4.412437,1038.6667,-5.258192
18.033,8.294018,0.845754,-43.860991,-4.472576,1037.5038,-5.318331
18.036,8.294018,0.845754,-43.860991,-4.472576,1037.5038,-5.318331
18.549,8.294018,0.845754,-44.474592,-4.535146,1036.2939,-5.380901
18.876,6.086584,0.620659,-44.474592,-4.535146,1036.2939,-5.155805
19.060,6.086584,0.620659,-44.975647,-4.586240,1035.3059,-5.206898
19.575,6.086584,0.620659,-45.312245,-4.620563,1034.6422,-5.241222
19.749,3.288860,0.335370,-45.312245,-4.620563,1034.6422,-4.955934
20.085,3.288860,0.335370,-45.712151,-4.661342,1033.8537,-4.996713
20.594,3.288860,0.335370,-46.075453,-4.698389,1033.1374,-5.033759
21.103,3.288860,0.335370,-46.363333,-4.727744,1032.5697,-5.063115
21.618,3.288860,0.335370,-46.577550,-4.749588,1032.1473,-5.084959
22.128,3.288860,0.335370,-46.811045,-4.773398,1031.6869,-5.108769
22.157,2.708058,0.276145,-46.811045,-4.773398,1031.6869,-5.049543
22.642,2.708058,0.276145,-46.903271,-4.782803,1031.5051,-5.058948
23.460,2.708058,0.276145,-46.885100,-4.780950,1031.5409,-5.057095
24.023,1.820965,0.185687,-46.931538,-4.785685,1031.4493,-4.971372
24.103,1.820965,0.185687,-46.931538,-4.785685,1031.4493,-4.971372
24.610,1.820965,0.185687,-46.937074,-4.786250,1031.4384,-4.971936
25.121,1.820965,0.185687,-46.938051,-4.786349,1031.4365,-4.972036
25.354,0.697927,0.071169,-46.938051,-4.786349,1031.4365,-4.857518
25.631,0.697927,0.071169,-47.466331,-4.840219,1030.3948,-4.911387
26.142,0.697927,0.071169,-46.943131,-4.786867,1031.4265,-4.858036
26.252,0.007829,0.000798,-46.943131,-4.786867,1031.4265,-4.787666
